step_no,run_id,w_m,c_m,cf_m,cf_d,kf_m,kf_d,equity
64,3kJuSc31qD09eLz,5107.419782755896,177.74096935149282,5219.633705377579,912.524714092724,293.182751275599,122.19794425368309,2236.75
65,3kJuSc31qD09eLz,5419.060454769497,171.09138703881763,5121.698252335191,933.465457521379,162.89256139378995,177.63395238108933,2236.36
66,3kJuSc31qD09eLz,5516.189203090966,195.806252961047,5027.320540487766,1065.6536312121898,227.90014860616066,185.2344582825899,2283.67
67,3kJuSc31qD09eLz,5796.7695886457805,191.64442843850702,4917.16722536087,1127.0282910373062,218.53490332514048,252.31417375802994,2255.23
68,3kJuSc31qD09eLz,5911.8009163038805,217.62906800457858,4782.677490353584,1135.5470377514139,228.29054901003838,257.34149004518986,2252.49
69,3kJuSc31qD09eLz,6085.426849765703,230.75592295092065,4606.763735085726,1146.231392385438,293.97743682190776,229.747738301754,2159.06
70,3kJuSc31qD09eLz,6335.696634439519,242.09276866866276,4476.931242257357,1190.7938983361237,280.06869350979105,226.45754408836365,2082.46
71,3kJuSc31qD09eLz,6681.781300632283,258.45480678603053,4327.931815505028,1237.5335101466626,230.4272801205516,276.67686849832535,2015.62
72,3kJuSc31qD09eLz,6922.79051859444,325.9105312018073,4118.169777289033,1456.1852554115467,360.5098195672035,308.5886937379837,2037.39
73,3kJuSc31qD09eLz,7429.830961845786,325.3408458721242,3970.373196721077,1524.2555547221564,271.89863363467157,433.7629330009222,1960.57
74,3kJuSc31qD09eLz,7695.849727943656,336.0633581764996,3951.133988171816,1637.7070124065503,254.654267674312,415.6169367134571,1815.62
75,3kJuSc31qD09eLz,8026.60279356502,360.13558562938124,3867.810836173594,1776.2243942525238,223.52662264183164,475.9427273273468,1774.09
76,3kJuSc31qD09eLz,8259.978808997665,344.8427460398525,3869.2860522568226,2049.17510366207,194.83789929561317,427.3924067020416,1807.62
77,3kJuSc31qD09eLz,8535.706846997607,339.01887663116213,3805.0798283815384,2143.6407897565514,149.80871603637934,403.25212478637695,1717.28
78,3kJuSc31qD09eLz,8663.723674628185,370.1161415663082,3607.086055099964,2270.4453732501715,267.2956400886178,335.18812358379364,1697.41
79,3kJuSc31qD09eLz,8919.425789614907,397.20731663610786,3386.482200309634,2435.9958628714085,346.9388737268746,353.6966117620468,1739.64
80,3kJuSc31qD09eLz,9258.024181921792,428.2951676300727,3215.641592025757,2527.8952872212976,285.2356917709112,387.57934403419495,1728.28
81,3kJuSc31qD09eLz,9618.581401928095,397.81849972208147,3204.3231837898493,2659.934077743441,155.53659889101982,459.77478194236755,1743.45
82,3kJuSc31qD09eLz,9767.752379831858,449.2540027257055,3033.381481677294,2925.1285849455744,316.618985356763,473.8152188062668,1831.94
83,3kJuSc31qD09eLz,10093.587782873772,428.7564074494876,3043.5730018019676,3123.5745571609586,241.97623006813228,448.9517232775688,1764.63
