step_no,step_id,kf_id,liquidity,price,equity,debt,profit,production,sales,inventory,queue,expected_demand,intresses,loans,labour_demand,staff,first_step,lmbda,wage_bill
64,222530468,K_0,6.0,1.76184,6.0,0.0,-0.0112593,0.0,0.0,0.551708,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
65,192501425,K_0,6.0,1.76184,6.0,0.0,-0.0110342,0.0,0.0,0.540673,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
66,849070516,K_0,6.0,1.76184,6.0,0.0,-0.0108135,0.0,0.0,0.52986,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
67,479539740,K_0,6.0,1.76184,6.0,0.0,-0.0105972,0.0,0.0,0.519263,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
68,942677218,K_0,6.0,1.76184,6.0,0.0,-0.0103853,0.0,0.0,0.508878,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
69,407605311,K_0,6.0,1.76184,6.0,0.0,-0.0101776,0.0,0.0,0.4987,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
70,669381081,K_0,6.0,1.76184,6.0,0.0,-0.009974,0.0,0.0,0.488726,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
71,426521415,K_0,6.0,1.76184,6.0,0.0,-0.00977452,0.0,0.0,0.478951,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
72,308670522,K_0,6.0,1.76184,6.0,0.0,-0.00957903,0.0,0.0,0.469372,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
73,491607301,K_0,6.0,1.76184,6.0,0.0,-0.00938745,0.0,0.0,0.459985,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
74,81300662,K_0,6.0,1.76184,6.0,0.0,-0.0091997,0.0,0.0,0.450785,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
75,770195125,K_0,6.0,1.76184,6.0,0.0,-0.00901571,0.0,0.0,0.44177,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
