run_id,step_no,qty,amount,bought_amount_w,bought_amount_c
gm7OSjRfMnJoveM,44,87.31060908315021,364.52087854767524,325.2015517321415,39.319326562806964
gm7OSjRfMnJoveM,45,83.69548882199751,351.8186255147478,312.4452291429043,39.373396854498424
gm7OSjRfMnJoveM,46,81.05195247110396,342.27965550248496,304.8279381520115,37.45171766089334
gm7OSjRfMnJoveM,47,78.51691742986895,332.99399015528354,295.06632802658714,37.92766197615856
gm7OSjRfMnJoveM,48,75.90735580539331,322.16324388283624,284.3231811611913,37.84006438058714
gm7OSjRfMnJoveM,49,74.0830206863152,314.5866749613972,276.88919325591996,37.69748012679884
gm7OSjRfMnJoveM,50,71.60098599836738,303.53724733572074,266.77649973891675,36.76074743723075
gm7OSjRfMnJoveM,51,69.34963601413438,293.3437227504222,256.74372160993516,36.60000184616183
gm7OSjRfMnJoveM,52,68.22699147514277,286.567727650928,250.96456584415864,35.60316157638954
gm7OSjRfMnJoveM,53,67.13956755492836,280.5797533813615,245.46848969906569,35.111261500300316
gm7OSjRfMnJoveM,54,66.42867437358336,277.4306398703454,243.2454805150628,34.185158499265526
gm7OSjRfMnJoveM,55,65.16085245257727,272.4865723612176,239.08639526029583,33.40017694261769
gm7OSjRfMnJoveM,56,64.15208277447869,267.8255017964586,235.32771709468216,32.49778501084438
gm7OSjRfMnJoveM,57,62.87726736675313,263.33530916741284,231.66091288253665,31.674396212387364
gm7OSjRfMnJoveM,58,62.69732770712267,261.8158878155461,230.92359138652682,30.89229688352134
gm7OSjRfMnJoveM,59,62.15404233611412,257.72313132322665,227.39755158685148,30.32558136607804
gm7OSjRfMnJoveM,60,61.961746581250964,256.6291393469113,227.24066067161039,29.388479669230946
gm7OSjRfMnJoveM,61,61.70940753947821,254.91830293972862,226.47989532351494,28.438407422395358
gm7OSjRfMnJoveM,62,61.70802809755514,254.01502138889956,226.04802829027176,27.96699311670818
gm7OSjRfMnJoveM,63,60.976825455276185,250.19306788619662,223.2602553218603,26.93281317700894
gm7OSjRfMnJoveM,64,61.81422431170722,252.3845440355837,226.24364578723907,26.140899412224826
