step_no,steps_id,capitalist_id,budget,wealth,human_wealth,spent_amount
150,890898605,B_0,0.0572524,0.201422,0.142005,0.0572524
151,921005246,B_0,0.152076,0.106147,0.138596,0.152076
152,340986849,B_0,0.106147,0.228557,0.142195,0.106147
153,757306310,B_0,0.153623,0.0894115,0.137086,0.153623
154,862773107,B_0,0.0894115,0.218593,0.140346,0.0894115
155,331794273,B_0,0.151276,0.070656,0.134866,0.151276
156,483207795,B_0,0.070656,0.0228727,0.130386,0.070656
157,712631714,B_0,0.0228727,0.0503501,0.127185,0.0228727
158,632962241,B_0,0.0503501,0.218496,0.130837,0.0503501
159,702720849,B_0,0.141762,0.151793,0.128606,0.141762
160,159204114,B_0,0.136196,0.14504,0.12864,0.136196
161,197688706,B_0,0.135892,0.0637912,0.12568,0.135892
162,414342889,B_0,0.0637912,0.00697493,0.120932,0.0637912
163,936295797,B_0,0.00697493,0.0,0.116094,0.00697493
164,193901891,B_0,0.0,0.245783,0.121282,0.0
165,249423955,B_0,0.133571,0.507747,0.132252,0.133571
166,149046674,B_0,0.157639,0.350108,0.126962,0.157639
167,45301675,B_0,0.144467,0.25432,0.123831,0.144467
168,680127342,B_0,0.136547,0.117773,0.118877,0.136547
169,388020795,B_0,0.117773,0.105443,0.11834,0.117773
170,639841482,B_0,0.105443,0.0609747,0.116045,0.105443
171,177616008,B_0,0.0609747,0.276622,0.122469,0.0609747
172,39121027,B_0,0.1363,0.500125,0.131962,0.1363
173,291599969,B_0,0.156968,0.375999,0.127997,0.156968
174,846695296,B_0,0.146797,0.270735,0.124539,0.146797
175,204653500,B_0,0.138075,0.361144,0.128696,0.138075
176,912353058,B_0,0.146754,0.287776,0.126484,0.146754
177,923157827,B_0,0.140873,0.386014,0.130989,0.140873
178,890225331,B_0,0.15029,0.235724,0.125749,0.15029
179,714295230,B_0,0.137536,0.384453,0.13217,0.137536
180,446482447,B_0,0.151393,0.330893,0.130797,0.151393
181,505099432,B_0,0.147341,0.183552,0.125565,0.147341
182,879608168,B_0,0.134742,0.259862,0.128984,0.134742
183,599013828,B_0,0.141977,0.117884,0.123825,0.141977
184,783480536,B_0,0.117884,0.062089,0.121355,0.117884
185,95874395,B_0,0.062089,0.0,0.116501,0.062089
186,620900684,B_0,0.0,0.248008,0.121761,0.0
187,383453377,B_0,0.134162,0.113847,0.116891,0.134162
188,378887788,B_0,0.113847,0.219479,0.120995,0.113847
189,781483795,B_0,0.131968,0.145673,0.118481,0.131968
190,471988702,B_0,0.125765,0.233739,0.122295,0.125765
191,316737655,B_0,0.133982,0.0997572,0.117403,0.133982
192,197168657,B_0,0.0997572,0.239074,0.12227,0.0997572
193,257401235,B_0,0.134224,0.123886,0.118141,0.134224
194,958230112,B_0,0.123886,0.0,0.113415,0.123886
195,507734372,B_0,0.0,0.206809,0.117151,0.0
196,805931472,B_0,0.127491,0.475621,0.128317,0.127491
197,48384429,B_0,0.152098,0.323523,0.123184,0.152098
198,521079122,B_0,0.139361,0.434094,0.128254,0.139361
199,645338588,B_0,0.149959,0.309083,0.124122,0.149959
200,19346391,B_0,0.139576,0.169507,0.119157,0.139576
201,688206283,B_0,0.127633,0.0948432,0.11651,0.127633
202,97703231,B_0,0.0948432,0.182249,0.119139,0.0948432
203,978677163,B_0,0.128252,0.428542,0.129355,0.128252
204,591506889,B_0,0.150783,0.498742,0.133021,0.150783
205,692357529,B_0,0.157958,0.35208,0.128152,0.157958
206,513242512,B_0,0.145756,0.458943,0.13313,0.145756
207,639465896,B_0,0.156077,0.965947,0.154328,0.156077
208,431329646,B_0,0.202626,1.37864,0.172768,0.202626
209,724741589,B_0,0.2417,1.14824,0.166309,0.2417
210,294680841,B_0,0.223721,0.924516,0.159657,0.223721
211,117444306,B_0,0.205883,0.758572,0.154868,0.205883
212,629788388,B_0,0.192797,0.767472,0.156741,0.192797
213,428305506,B_0,0.195115,1.17168,0.174444,0.195115
214,877162255,B_0,0.233028,0.938649,0.167466,0.233028
215,686227422,B_0,0.214399,0.92914,0.168963,0.214399
216,327696343,B_0,0.21542,0.713719,0.162205,0.21542
217,376951131,B_0,0.197891,0.711713,0.163552,0.197891
218,443096953,B_0,0.199138,0.941849,0.174181,0.199138
219,422595000,B_0,0.221273,1.16843,0.185128,0.221273
220,385165641,B_0,0.243549,0.995712,0.180556,0.243549
221,497880484,B_0,0.230342,0.779573,0.173902,0.230342
222,506852503,B_0,0.21288,0.777184,0.175365,0.21288
223,723003788,B_0,0.214225,0.56296,0.168351,0.214225
224,965129637,B_0,0.196499,0.396761,0.162829,0.196499
225,970462616,B_0,0.182667,0.446743,0.165622,0.182667
226,57208876,B_0,0.187959,0.665193,0.175253,0.187959
227,743483229,B_0,0.208513,0.520422,0.170793,0.208513
228,905938541,B_0,0.196814,0.597623,0.174921,0.196814
229,218277977,B_0,0.204803,0.39282,0.167925,0.204803
230,696060926,B_0,0.187566,0.273252,0.163928,0.187566
231,475881349,B_0,0.17759,0.286776,0.165015,0.17759
232,46384796,B_0,0.179354,0.309686,0.166505,0.179354
233,625675807,B_0,0.181989,0.459626,0.173122,0.181989
234,490747260,B_0,0.196103,0.263522,0.166197,0.196103
235,542817046,B_0,0.179373,0.271998,0.167063,0.179373
236,849593552,B_0,0.180663,0.286604,0.168191,0.180663
237,206992644,B_0,0.182522,0.104082,0.161464,0.182522
238,884791197,B_0,0.104082,0.0105067,0.155425,0.104082
239,634118354,B_0,0.0105067,0.240705,0.158837,0.0105067
240,774427484,B_0,0.170872,0.0883758,0.153225,0.170872
241,664588885,B_0,0.0883758,0.18416,0.154462,0.0883758
242,384382113,B_0,0.16367,0.0324315,0.148761,0.16367
243,209210446,B_0,0.0324315,0.0846081,0.146195,0.0324315
244,902400964,B_0,0.0846081,0.120967,0.145186,0.0846081
245,597088329,B_0,0.120967,0.231953,0.148657,0.120967
246,998200386,B_0,0.160254,0.278252,0.150973,0.160254
247,210106641,B_0,0.164885,0.113367,0.144934,0.164885
248,107659992,B_0,0.113367,0.000993263,0.139176,0.113367
249,74242745,B_0,0.000993263,0.197921,0.141526,0.000993263
250,774199772,B_0,0.151422,0.0770235,0.137086,0.151422
251,700363716,B_0,0.0770235,0.168249,0.138332,0.0770235
252,344375898,B_0,0.146745,0.436601,0.149403,0.146745
253,453049386,B_0,0.171233,0.265368,0.143427,0.171233
254,605608442,B_0,0.156695,0.287851,0.144857,0.156695
255,624137668,B_0,0.15925,0.175883,0.140954,0.15925
256,198587638,B_0,0.149748,0.0261346,0.135316,0.149748
257,845610,B_0,0.0261346,0.0567956,0.132175,0.0261346
258,505907429,B_0,0.0567956,0.164091,0.133452,0.0567956
259,372768746,B_0,0.141656,0.53662,0.148681,0.141656
260,377490654,B_0,0.175512,0.406474,0.144548,0.175512
261,750222674,B_0,0.164872,0.458308,0.147435,0.164872
262,296022985,B_0,0.17035,0.682592,0.157323,0.17035
263,203726487,B_0,0.191452,0.557131,0.153669,0.191452
264,171225728,B_0,0.181526,0.419839,0.149292,0.181526
265,835023474,B_0,0.170284,0.418962,0.150097,0.170284
266,49943057,B_0,0.171045,0.247918,0.144093,0.171045
267,252362558,B_0,0.156489,0.149162,0.140638,0.156489
268,119141052,B_0,0.148096,0.00106578,0.135013,0.148096
269,738111438,B_0,0.00106578,0.150327,0.135625,0.00106578
270,43763942,B_0,0.143142,0.00930194,0.130285,0.143142
271,464618122,B_0,0.00930194,0.160495,0.131493,0.00930194
272,45837085,B_0,0.139518,0.25158,0.135458,0.139518
273,744713817,B_0,0.148037,0.172983,0.132817,0.148037
274,130923409,B_0,0.141466,0.197917,0.13416,0.141466
275,479566502,B_0,0.144056,0.534964,0.148038,0.144056
276,518297778,B_0,0.174786,0.407746,0.144019,0.174786
277,367732405,B_0,0.164407,0.28517,0.139932,0.164407
278,962874523,B_0,0.15419,0.693557,0.156838,0.15419
279,502213011,B_0,0.191515,0.575492,0.153502,0.191515
280,262139302,B_0,0.182277,0.393215,0.147362,0.182277
281,839727026,B_0,0.167023,0.226193,0.141468,0.167023
282,417927953,B_0,0.152777,0.258157,0.143199,0.152777
283,947989079,B_0,0.156106,0.102051,0.137471,0.156106
284,300252690,B_0,0.102051,0.154079,0.138135,0.102051
285,978859421,B_0,0.145839,0.00824051,0.13261,0.145839
286,365083133,B_0,0.00824051,0.0134253,0.127842,0.00824051
287,480116602,B_0,0.0134253,0.266446,0.133386,0.0134253
288,51308356,B_0,0.146709,0.366875,0.137936,0.146709
289,926557078,B_0,0.15628,0.210595,0.132419,0.15628
290,486554660,B_0,0.142949,0.237106,0.133901,0.142949
291,864718814,B_0,0.145756,0.105668,0.129117,0.145756
292,877683216,B_0,0.105668,0.286688,0.13542,0.105668
293,847934400,B_0,0.149754,0.136933,0.130003,0.149754
294,115191834,B_0,0.13685,0.229103,0.133964,0.13685
295,206152821,B_0,0.145419,0.103328,0.129391,0.145419
296,440611881,B_0,0.103328,0.453916,0.142372,0.103328
297,96735227,B_0,0.165068,0.288848,0.136677,0.165068
298,62302397,B_0,0.15112,0.159512,0.132081,0.15112
299,49808256,B_0,0.140057,0.388824,0.141573,0.140057
300,878405168,B_0,0.161014,1.24237,0.176492,0.161014
301,161276960,B_0,0.238611,1.05929,0.171654,0.238611
302,317555744,B_0,0.224619,0.834675,0.164788,0.224619
303,734688455,B_0,0.206522,0.761653,0.163536,0.206522
304,552299623,B_0,0.201619,0.5686,0.157338,0.201619
305,226306981,B_0,0.185768,0.406948,0.152009,0.185768
306,499058020,B_0,0.172356,0.590025,0.160146,0.172356
307,873770500,B_0,0.189647,1.2113,0.186177,0.189647
308,202386172,B_0,0.246741,1.86171,0.214616,0.246741
309,940480006,B_0,0.307701,1.55401,0.206031,0.307701
310,952751996,B_0,0.283732,1.27028,0.19779,0.283732
311,462428,B_0,0.261304,1.09109,0.193163,0.261304
312,97800603,B_0,0.247717,1.69027,0.219312,0.247717
313,842258207,B_0,0.303826,1.38645,0.21054,0.303826
314,141313699,B_0,0.279862,1.26974,0.208644,0.279862
315,855445875,B_0,0.272131,1.78717,0.231881,0.272131
316,304288083,B_0,0.32124,1.46974,0.222758,0.32124
317,20240329,B_0,0.296245,1.49627,0.226759,0.296245
318,731650089,B_0,0.301573,1.213,0.218421,0.301573
319,90961494,B_0,0.279071,1.38035,0.227541,0.279071
320,42790036,B_0,0.296558,1.08379,0.218439,0.296558
321,559284619,B_0,0.272629,0.811163,0.209702,0.272629
322,687962053,B_0,0.25026,0.618295,0.203609,0.25026
323,905002657,B_0,0.234524,0.508124,0.200439,0.234524
324,575749192,B_0,0.225845,0.431976,0.198409,0.225845
325,225784565,B_0,0.220008,0.837911,0.215511,0.220008
326,631658839,B_0,0.257406,0.656912,0.209947,0.257406
327,207693806,B_0,0.242792,0.551024,0.207025,0.242792
328,797360368,B_0,0.234576,0.435037,0.203487,0.234576
329,621529648,B_0,0.225239,0.362837,0.201469,0.225239
330,126986360,B_0,0.219611,0.241884,0.197357,0.219611
331,851050031,B_0,0.209451,0.14478,0.193957,0.209451
332,649608469,B_0,0.14478,1.17771,0.233307,0.14478
333,78831499,B_0,0.292192,2.26727,0.279244,0.292192
334,885042922,B_0,0.392608,1.98647,0.272547,0.392608
335,432759695,B_0,0.37187,2.15594,0.283299,0.37187
336,62236447,B_0,0.391095,3.71225,0.349863,0.391095
337,686742080,B_0,0.535476,3.8344,0.362174,0.535476
338,219141787,B_0,0.553894,3.28051,0.347687,0.553894
339,709533388,B_0,0.511712,2.95771,0.341336,0.511712
340,161151768,B_0,0.489221,3.16092,0.35538,0.489221
341,517932019,B_0,0.513425,2.64749,0.341164,0.513425
342,991501021,B_0,0.473539,2.17395,0.327518,0.473539
343,936254353,B_0,0.436215,1.91446,0.321486,0.436215
344,151506157,B_0,0.417209,1.56195,0.311214,0.417209
345,645704203,B_0,0.389312,1.31514,0.304466,0.389312
346,785867739,B_0,0.370223,0.944919,0.292287,0.370223
347,383378123,B_0,0.339533,0.923017,0.293301,0.339533
348,550110392,B_0,0.339452,1.04793,0.300144,0.339452
349,428338413,B_0,0.35254,0.779458,0.291501,0.35254
350,122314858,B_0,0.330474,1.98263,0.341186,0.330474
351,572010709,B_0,0.440318,5.25511,0.476051,0.440318
352,195142102,B_0,0.738806,4.5468,0.458229,0.738806
353,560806207,B_0,0.685569,5.01166,0.485917,0.685569
354,73897908,B_0,0.7365,5.90993,0.531871,0.7365
355,236750013,B_0,0.827367,6.04277,0.549004,0.827367
356,807287084,B_0,0.851143,5.24498,0.529178,0.851143
357,144556767,B_0,0.791427,5.42982,0.547062,0.791427
358,202701278,B_0,0.818553,6.6778,0.607841,0.818553
359,617058414,B_0,0.94173,5.77572,0.585113,0.94173
360,767496182,B_0,0.873899,5.71104,0.594077,0.873899
361,498708967,B_0,0.87963,6.93033,0.654271,0.87963
362,287371740,B_0,1.00079,13.2075,0.91922,1.00079
363,608452199,B_0,1.5796,11.6942,0.885102,1.5796
364,898581068,B_0,1.46981,11.0774,0.883817,1.46981
365,45189270,B_0,1.43769,9.73931,0.852449,1.43769
366,440510674,B_0,1.33941,8.43793,0.819873,1.33941
367,443701086,B_0,1.24177,7.7191,0.807995,1.24177
368,426930734,B_0,1.19395,6.52515,0.775675,1.19395
369,517151798,B_0,1.10193,5.5936,0.751464,1.10193
370,713694351,B_0,1.03114,4.66686,0.725581,1.03114
371,237651292,B_0,0.958925,4.3792,0.723409,0.958925
372,806777020,B_0,0.942369,5.05201,0.75908,0.942369
373,385097301,B_0,1.01168,5.25443,0.77728,1.01168
374,388293704,B_0,1.04,4.42604,0.754653,1.04
375,695278641,B_0,0.975955,4.02169,0.747332,0.975955
376,343866901,B_0,0.948416,3.07327,0.717438,0.948416
377,490972105,B_0,0.871102,2.20217,0.688741,0.871102
378,216200239,B_0,0.798849,2.52043,0.705875,0.798849
379,586934488,B_0,0.831897,4.4919,0.789775,0.831897
380,366947891,B_0,1.01437,4.60222,0.803172,1.01437
381,913014536,B_0,1.03328,3.80199,0.780367,1.03328
382,417132203,B_0,0.970467,2.83152,0.749152,0.970467
383,992170873,B_0,0.0,1.02428,0.760158,0.0
