step_no,step_id,cf_id,liquidity,price,equity,debt,profit,production,sales,queue,expected_demand,intresses,labour_demand,lmbda,loans,staff,first_step,capital,capital_avg,invested,planned_production,planned_investment,wage_bill,investment_cost,capital_book,desired_capital
21,365291078,C_0,34.7287,5.52882,96.5074,18.5993,-10.1178,8.0,1.7237,0.0,7.93354,0.458315,0.0,0.0942647,"[{""amount"": 3.0724181312154832, ""rate"": 0.023407254804442168}, {""amount"": 2.165473357108997, ""rate"": 0.023407254804442168}, {""amount"": 4.995842259637669, ""rate"": 0.023407254804442168}, {""amount"": 5.813771159808424, ""rate"": 0.023407254804442168}, {""amount"": 1.7636320118368978, ""rate"": 0.023407254804442168}, {""amount"": 0.7881989931485612, ""rate"": 0.023457484196215368}]","[""W_1433"", ""W_207"", ""W_2507"", ""W_2580"", ""W_1887"", ""W_2503"", ""W_2241"", ""W_28"", ""W_1896"", ""W_639"", ""W_1243"", ""W_1919"", ""W_1156"", ""W_2379"", ""W_2287"", ""W_984""]",0,29.7275,25.6988,0.0,7.93354,0.630587,16.0,1.705,80.3781,30.2339,0.788681
22,883591720,C_0,39.2938,4.9828,102.848,17.6694,6.21846,2.5,2.5,10.0593,2.34468,0.435399,0.0,0.0935825,"[{""amount"": 2.918797224654709, ""rate"": 0.023407254804442168}, {""amount"": 2.0571996892535473, ""rate"": 0.023407254804442168}, {""amount"": 4.746050146655786, ""rate"": 0.023407254804442168}, {""amount"": 5.523082601818003, ""rate"": 0.023407254804442168}, {""amount"": 1.6754504112450528, ""rate"": 0.023407254804442168}, {""amount"": 0.7487890434911332, ""rate"": 0.023457484196215368}]","[""W_1887"", ""W_2503"", ""W_2241"", ""W_2379"", ""W_2287""]",0,29.6835,24.8614,0.282854,2.34468,0.106205,5.0,0.286158,79.9795,29.2487,0.236854
23,385464378,C_0,36.538,5.41862,107.148,18.5422,12.5219,7.5,4.15637,0.0,11.5378,0.456903,0.0,0.0956923,"[{""amount"": 2.7728573634219735, ""rate"": 0.023407254804442168}, {""amount"": 1.95433970479087, ""rate"": 0.023407254804442168}, {""amount"": 4.508747639322996, ""rate"": 0.023407254804442168}, {""amount"": 5.246928471727103, ""rate"": 0.023407254804442168}, {""amount"": 1.5916778906828002, ""rate"": 0.023407254804442168}, {""amount"": 0.7113495913165765, ""rate"": 0.023457484196215368}, {""amount"": 1.7562946019434809, ""rate"": 0.023407254804442168}]","[""W_1887"", ""W_2503"", ""W_2241"", ""W_2379"", ""W_2287"", ""W_2459"", ""W_889"", ""W_2431"", ""W_2451"", ""W_107"", ""W_2023"", ""W_146"", ""W_1003"", ""W_1295"", ""W_2152""]",0,32.2231,31.2885,8.18912,11.5378,7.8626,15.0,21.1425,86.6477,36.8099,0.236854
24,747954126,C_0,35.5512,5.54569,103.463,17.6151,-1.82334,5.0,1.89963,0.0,4.89452,0.434058,0.0,0.0867935,"[{""amount"": 2.634214495250875, ""rate"": 0.023407254804442168}, {""amount"": 1.8566227195513265, ""rate"": 0.023407254804442168}, {""amount"": 4.283310257356846, ""rate"": 0.023407254804442168}, {""amount"": 4.984582048140748, ""rate"": 0.023407254804442168}, {""amount"": 1.5120939961486601, ""rate"": 0.023407254804442168}, {""amount"": 1.6684798718463068, ""rate"": 0.023407254804442168}, {""amount"": 0.6757821117507476, ""rate"": 0.023457484196215368}]","[""W_1887"", ""W_2503"", ""W_2241"", ""W_2379"", ""W_889"", ""W_2431"", ""W_2451"", ""W_2023"", ""W_1003"", ""W_1295""]",0,31.9863,26.9055,0.160381,4.89452,0.0634938,10.0,0.169773,85.5266,31.6535,0.45614
25,605648327,C_0,40.7191,5.11544,110.503,16.7343,6.63813,2.5,2.5,6.54733,2.19912,0.412355,0.0,0.0839052,"[{""amount"": 2.5025037704883313, ""rate"": 0.023407254804442168}, {""amount"": 1.76379158357376, ""rate"": 0.023407254804442168}, {""amount"": 4.069144744489004, ""rate"": 0.023407254804442168}, {""amount"": 4.735352945733711, ""rate"": 0.023407254804442168}, {""amount"": 1.436489296341227, ""rate"": 0.023407254804442168}, {""amount"": 1.5850558782539914, ""rate"": 0.023407254804442168}, {""amount"": 0.6419930061632103, ""rate"": 0.023457484196215368}]","[""W_1887"", ""W_2503"", ""W_2379"", ""W_2431"", ""W_1295""]",0,31.8361,20.9603,0.0,2.19912,0.0,5.0,0.0,85.1903,24.6591,0.206463
26,669452481,C_0,38.7754,5.5297,106.759,15.8976,-3.70177,8.0,2.76412,0.0,8.3625,0.391737,0.725009,0.0776033,"[{""amount"": 2.3773785819639146, ""rate"": 0.023407254804442168}, {""amount"": 1.6756020043950721, ""rate"": 0.023407254804442168}, {""amount"": 3.8656875072645542, ""rate"": 0.023407254804442168}, {""amount"": 4.498585298447026, ""rate"": 0.023407254804442168}, {""amount"": 1.3646648315241656, ""rate"": 0.023407254804442168}, {""amount"": 1.505803084341292, ""rate"": 0.023407254804442168}, {""amount"": 0.6098933558550498, ""rate"": 0.023457484196215368}]","[""W_1887"", ""W_2503"", ""W_2379"", ""W_2431"", ""W_1295"", ""W_1279"", ""W_252"", ""W_2079"", ""W_1515"", ""W_650"", ""W_725"", ""W_158"", ""W_2660"", ""W_1107"", ""W_2687"", ""W_258""]",0,31.3557,24.0647,0.0,8.3625,0.0,16.0,0.0,83.8809,28.3114,0.788809
27,544805186,C_0,47.1328,5.24682,116.514,15.1027,9.1973,3.5,3.5,2.95047,3.32396,0.37215,0.0,0.0752546,"[{""amount"": 2.258509652865719, ""rate"": 0.023407254804442168}, {""amount"": 1.5918219041753185, ""rate"": 0.023407254804442168}, {""amount"": 3.6724031319013264, ""rate"": 0.023407254804442168}, {""amount"": 4.2736560335246745, ""rate"": 0.023407254804442168}, {""amount"": 1.2964315899479573, ""rate"": 0.023407254804442168}, {""amount"": 1.4305129301242274, ""rate"": 0.023407254804442168}, {""amount"": 0.5793986880622973, ""rate"": 0.023457484196215368}]","[""W_2379"", ""W_1295"", ""W_252"", ""W_2079"", ""W_1515"", ""W_2660"", ""W_1107""]",0,31.1454,24.0444,0.0,3.32396,0.0,7.0,0.0,82.6442,28.2875,0.318343
28,496805597,C_0,40.3396,5.59358,107.226,14.3476,-8.39876,6.0,1.12906,0.0,6.13782,0.353543,0.275637,0.0686719,"[{""amount"": 2.145584170222433, ""rate"": 0.023407254804442168}, {""amount"": 1.5122308089665526, ""rate"": 0.023407254804442168}, {""amount"": 3.4887829753062602, ""rate"": 0.023407254804442168}, {""amount"": 4.059973231848441, ""rate"": 0.023407254804442168}, {""amount"": 1.2316100104505594, ""rate"": 0.023407254804442168}, {""amount"": 1.3589872836180161, ""rate"": 0.023407254804442168}, {""amount"": 0.5504287536591824, ""rate"": 0.023457484196215368}]","[""W_2379"", ""W_1295"", ""W_252"", ""W_2079"", ""W_1515"", ""W_2660"", ""W_1107"", ""W_1448"", ""W_524"", ""W_2373"", ""W_240"", ""W_1486""]",0,30.7851,21.7076,0.0,6.13782,0.0,12.0,0.0,81.2344,25.5383,0.5918
29,582802664,C_0,44.6927,5.21095,112.62,13.6302,5.07791,2.0,2.0,4.50942,1.62993,0.335865,0.0,0.0682525,"[{""amount"": 2.038304961711311, ""rate"": 0.023407254804442168}, {""amount"": 1.4366192685182249, ""rate"": 0.023407254804442168}, {""amount"": 3.3143438265409473, ""rate"": 0.023407254804442168}, {""amount"": 3.856974570256019, ""rate"": 0.023407254804442168}, {""amount"": 1.1700295099280313, ""rate"": 0.023407254804442168}, {""amount"": 1.2910379194371153, ""rate"": 0.023407254804442168}, {""amount"": 0.5229073159762233, ""rate"": 0.023457484196215368}]","[""W_1295"", ""W_252"", ""W_2079"", ""W_2660""]",0,30.665,19.8628,0.0,1.62993,0.0,4.0,0.0,80.5418,23.368,0.158996
30,404260675,C_0,54.4989,5.48532,122.977,12.9487,10.4293,6.0,4.53805,0.0,6.02147,0.319072,0.0429478,0.0633048,"[{""amount"": 1.9363897136257455, ""rate"": 0.023407254804442168}, {""amount"": 1.3647883050923135, ""rate"": 0.023407254804442168}, {""amount"": 3.1486266352139, ""rate"": 0.023407254804442168}, {""amount"": 3.664125841743218, ""rate"": 0.023407254804442168}, {""amount"": 1.1115280344316298, ""rate"": 0.023407254804442168}, {""amount"": 1.2264860234652595, ""rate"": 0.023407254804442168}, {""amount"": 0.49676195017741215, ""rate"": 0.023457484196215368}]","[""W_1295"", ""W_252"", ""W_2079"", ""W_2660"", ""W_2022"", ""W_2303"", ""W_44"", ""W_1183"", ""W_1845"", ""W_2947"", ""W_1589"", ""W_1693""]",0,30.3046,19.7053,0.0,6.02147,0.0,12.0,0.0,79.341,23.1827,0.58968
